;Extracto rico;Fe(III);nZVI rico;
Wavelength [nm];Absorbance;absorbance;absorbance;
541.000;1.624985;0.07307434;1.193222;
541.500;1.621689;0.07185364;1.170059;
542.000;1.618164;0.07052612;1.146347;
542.500;1.614578;0.06929016;1.124481;
543.000;1.611267;0.06814575;1.103699;
543.500;1.607834;0.06694031;1.08432;
544.000;1.604355;0.06567383;1.065887;
544.500;1.600967;0.0645752;1.050262;
545.000;1.597656;0.0634613;1.036194;
545.500;1.594437;0.06234741;1.023132;
546.000;1.591049;0.06118774;1.011307;
546.500;1.587631;0.06010437;1.000977;
547.000;1.584366;0.05899048;0.9916534;
547.500;1.581314;0.0579071;0.9836121;
548.000;1.578354;0.05691528;0.9770813;
548.500;1.575104;0.05587769;0.9716187;
549.000;1.572098;0.05490112;0.9669952;
549.500;1.569153;0.05397034;0.9632874;
550.000;1.56636;0.05299377;0.9602051;
550.500;1.563507;0.05206299;0.9575348;
551.000;1.560623;0.05104065;0.9553833;
551.500;1.557755;0.05018616;0.9537659;
552.000;1.555054;0.04936218;0.9524841;
552.500;1.552231;0.04853821;0.951416;
553.000;1.5495;0.04763794;0.9506836;
553.500;1.546539;0.04679871;0.9499207;
554.000;1.543579;0.04595947;0.9493713;
554.500;1.540649;0.0451355;0.9488525;
555.000;1.538025;0.04429626;0.9482117;
555.500;1.535324;0.04345703;0.9475403;
556.000;1.532867;0.04275513;0.9467926;
556.500;1.530426;0.04205322;0.9458313;
557.000;1.528198;0.04139709;0.9447174;
557.500;1.525665;0.04071045;0.9433594;
558.000;1.523087;0.03996277;0.9415131;
558.500;1.520493;0.03926086;0.9394989;
559.000;1.518188;0.03855896;0.9372711;
559.500;1.515549;0.03793335;0.9346161;
560.000;1.513046;0.03729248;0.9316864;
560.500;1.510422;0.03656006;0.9281464;
561.000;1.507996;0.03594971;0.9243927;
561.500;1.50531;0.03535461;0.9202576;
562.000;1.502853;0.03477478;0.9160004;
562.500;1.500305;0.03421021;0.9112701;
563.000;1.497803;0.03361511;0.9064484;
563.500;1.495377;0.03305054;0.9009552;
564.000;1.492783;0.03242493;0.8956146;
564.500;1.490067;0.03181458;0.8901215;
565.000;1.487427;0.03135681;0.8842773;
565.500;1.485184;0.03086853;0.8786774;
566.000;1.482925;0.03041077;0.872757;
566.500;1.480347;0.02992249;0.8663483;
567.000;1.477585;0.02941895;0.8600159;
567.500;1.474487;0.0289917;0.8534241;
568.000;1.471756;0.02851868;0.8466034;
568.500;1.469238;0.02809143;0.8398438;
569.000;1.466736;0.02761841;0.8330841;
569.500;1.464111;0.02714539;0.8262787;
570.000;1.461517;0.02674866;0.8192596;
570.500;1.459106;0.02630615;0.8125305;
571.000;1.456512;0.02589417;0.806015;
571.500;1.453873;0.02549744;0.7996674;
572.000;1.451111;0.02507019;0.7934875;
572.500;1.448639;0.02470398;0.7876892;
573.000;1.445999;0.02432251;0.7819672;
573.500;1.443146;0.02400208;0.7767029;
574.000;1.440872;0.0236969;0.7716217;
574.500;1.438446;0.02330017;0.7668304;
575.000;1.435989;0.02301025;0.7625122;
575.500;1.433609;0.02270508;0.7584839;
576.000;1.431122;0.02241516;0.7545929;
576.500;1.428741;0.02207947;0.7510986;
577.000;1.42598;0.02171326;0.7477722;
577.500;1.423477;0.02140808;0.7453156;
578.000;1.420837;0.02105713;0.7429657;
578.500;1.418701;0.02079773;0.7412415;
579.000;1.416183;0.02055359;0.7399445;
579.500;1.413956;0.02030945;0.7389984;
580.000;1.41156;0.01997375;0.7385406;
580.500;1.409012;0.01971436;0.7386627;
581.000;1.406723;0.01948547;0.7392731;
581.500;1.404602;0.01921082;0.7404327;
582.000;1.402359;0.01899719;0.7421417;
582.500;1.399979;0.01873779;0.7443848;
583.000;1.397659;0.01849365;0.7470398;
583.500;1.395432;0.01829529;0.750412;
584.000;1.393356;0.01809692;0.7546997;
584.500;1.391266;0.01785278;0.7591095;
585.000;1.389313;0.01765442;0.7641907;
585.500;1.387115;0.01742554;0.769928;
586.000;1.385056;0.01727295;0.7763519;
586.500;1.38298;0.01712036;0.7834015;
587.000;1.380966;0.016922;0.790802;
587.500;1.379013;0.01673889;0.7985687;
588.000;1.377289;0.01660156;0.8067169;
588.500;1.375488;0.01638794;0.8155518;
589.000;1.373459;0.01615906;0.825058;
589.500;1.371292;0.01597595;0.8352356;
590.000;1.3694;0.01582336;0.8457031;
590.500;1.367798;0.01568604;0.8562164;
591.000;1.366119;0.01554871;0.8668671;
591.500;1.364273;0.0153656;0.8782349;
592.000;1.362335;0.01525879;0.8900146;
592.500;1.360703;0.01513672;0.9024506;
593.000;1.359222;0.01501465;0.9148865;
593.500;1.357452;0.01480103;0.927597;
594.000;1.355713;0.01478577;0.9403076;
594.500;1.354095;0.0145874;0.9534302;
595.000;1.352463;0.01445007;0.9666595;
595.500;1.350967;0.014328;0.9806061;
596.000;1.349716;0.01423645;0.9943848;
596.500;1.348358;0.01409912;1.008041;
597.000;1.346848;0.01393127;1.021194;
597.500;1.345428;0.01383972;1.034225;
598.000;1.344101;0.01377869;1.047028;
598.500;1.342682;0.01368713;1.059494;
599.000;1.341202;0.0135498;1.071472;
599.500;1.339584;0.01345825;1.08287;
600.000;1.33815;0.01338196;1.093277;
600.500;1.33696;0.01330566;1.103256;
601.000;1.335663;0.01322937;1.112595;
601.500;1.334152;0.01309204;1.121353;
602.000;1.332565;0.01296997;1.129257;
602.500;1.330933;0.01290894;1.135712;
603.000;1.329285;0.0128479;1.140945;
603.500;1.327591;0.01274109;1.145355;
604.000;1.325928;0.01264954;1.148697;
604.500;1.324387;0.0125885;1.150894;
605.000;1.322723;0.01248169;1.152084;
605.500;1.321243;0.01243591;1.152359;
606.000;1.319489;0.0124054;1.151611;
606.500;1.31752;0.01229858;1.14975;
607.000;1.315918;0.01222229;1.147217;
607.500;1.314209;0.01213074;1.143448;
608.000;1.312332;0.01211548;1.13884;
608.500;1.310501;0.01205444;1.133255;
609.000;1.308578;0.01196289;1.126938;
609.500;1.306732;0.01193237;1.11998;
610.000;1.304855;0.01185608;1.112198;
610.500;1.302673;0.01179504;1.103943;
611.000;1.300735;0.01168823;1.095016;
611.500;1.298798;0.0116272;1.085312;
612.000;1.296814;0.01158142;1.075119;
612.500;1.294708;0.01156616;1.065048;
613.000;1.292557;0.01153564;1.054321;
613.500;1.290604;0.01150513;1.043808;
614.000;1.288635;0.01135254;1.032776;
614.500;1.286667;0.0113678;1.021622;
615.000;1.284531;0.01135254;1.010025;
615.500;1.282303;0.01127625;0.9985199;
616.000;1.280106;0.01118469;0.9871674;
616.500;1.278122;0.01113892;0.9760437;
617.000;1.276108;0.01113892;0.9648438;
617.500;1.274033;0.01113892;0.95401;
618.000;1.271942;0.01113892;0.9436035;
618.500;1.27002;0.0111084;0.9334259;
619.000;1.26796;0.01112366;0.924057;
619.500;1.2659;0.01107788;0.9150238;
620.000;1.263885;0.01106262;0.9067841;
620.500;1.261902;0.01100159;0.8990479;
621.000;1.259979;0.01101685;0.891983;
621.500;1.258102;0.01091003;0.8855896;
622.000;1.256256;0.01089478;0.8800354;
622.500;1.254211;0.01087952;0.8752594;
623.000;1.252106;0.010849;0.8713531;
623.500;1.250153;0.01083374;0.8682098;
624.000;1.248383;0.01080322;0.865921;
624.500;1.24646;0.01080322;0.864502;
625.000;1.244507;0.01080322;0.8642426;
625.500;1.242676;0.01080322;0.864975;
626.000;1.240707;0.01078796;0.8668518;
626.500;1.2388;0.01072693;0.869751;
627.000;1.237076;0.01071167;0.8737946;
627.500;1.235275;0.01071167;0.8789673;
628.000;1.233521;0.01069641;0.8853302;
628.500;1.231796;0.01066589;0.8929596;
629.000;1.230087;0.01069641;0.9015198;
629.500;1.228409;0.01069641;0.9115601;
630.000;1.226669;0.01069641;0.9227295;
630.500;1.224899;0.01069641;0.9351044;
631.000;1.223145;0.01066589;0.9497681;
631.500;1.221466;0.01065063;0.964325;
632.000;1.220016;0.01063538;0.9804993;
632.500;1.218491;0.01063538;0.9996948;
633.000;1.217026;0.01068115;1.018738;
633.500;1.215744;0.01063538;1.039444;
